drug	gene	patient_id	value
cetuximab	EGR1	C45	0.7108509999999999
cetuximab	FOSL1	C45	0.7373043333333333
cetuximab	IER3	C45	0.8642846666666667
cetuximab	PLK3	C45	0.817371
cetuximab	SHB	C45	0.8664033333333333
cetuximab	TNS4	C45	0.6053443333333334
cetuximab	EPHA2	C45	0.8325143333333332
cetuximab	C11orf24	CB3	0.98666
cetuximab	DUSP6	CB3	0.9415523333333334
cetuximab	EGR1	CB3	0.9495250000000001
cetuximab	FOSL1	CB3	0.9461603333333333
cetuximab	IER3	CB3	0.971799
cetuximab	PLK3	CB3	0.947186
cetuximab	SHB	CB3	0.9662163333333332
cetuximab	TNS4	CB3	0.8845766666666667
cetuximab	EPHA2	CB3	0.9469653333333333
cetuximab	C11orf24	KUC17	0.944299
cetuximab	DUSP6	KUC17	0.7736256666666667
cetuximab	EGR1	KUC17	0.6705273333333334
cetuximab	FOSL1	KUC17	0.6363666666666666
cetuximab	IER3	KUC17	0.89522
cetuximab	PLK3	KUC17	0.721545
cetuximab	SHB	KUC17	0.9153596666666667
cetuximab	TNS4	KUC17	0.5854613333333333
cetuximab	EPHA2	KUC17	0.7962046666666667
cetuximab	C11orf24	KUC21	0.9621210000000001
cetuximab	DUSP6	KUC21	0.8668926666666668
cetuximab	EGR1	KUC21	0.8948870000000001
cetuximab	FOSL1	KUC21	0.9210173333333334
cetuximab	IER3	KUC21	0.9460876666666667
cetuximab	PLK3	KUC21	0.8454956666666668
cetuximab	SHB	KUC21	0.9424053333333333
cetuximab	TNS4	KUC21	0.8726686666666666
cetuximab	EPHA2	KUC21	0.931836
cetuximab	C11orf24	KUC3	0.9487573333333333
cetuximab	DUSP6	KUC3	0.655183
cetuximab	EGR1	KUC3	0.5986603333333333
cetuximab	FOSL1	KUC3	0.5545106666666667
cetuximab	IER3	KUC3	0.7916356666666666
cetuximab	PLK3	KUC3	0.757927
cetuximab	SHB	KUC3	0.811099
cetuximab	TNS4	KUC3	0.6830980000000001
cetuximab	EPHA2	KUC3	0.7387693333333334
