drug	legacy_reference_lines	expected_edge_count	observed_edge_count	missing_edge_count	extra_edge_count	status
LDN193189	C45,C307,CB3	15	15	0	0	passed
cetuximab	C45,C132,KUC3	12	12	0	0	passed
