drug	subset_size	observed_lines	observed_common_edge_count	observed_union_edge_count	observed_multiway_jaccard	observed_overlap_coefficient	n_subsets	rank_min_desc	tie_count	percentile	exact_p_one_sided	holm_p_primary
LDN193189	3	C45,C307,CB3	15	247	0.0607287449393	0.205479452055	120	6	1	95.8333333333	0.05	0.1
cetuximab	4	C45,C132,C324,KUC3	2	448	0.00446428571429	0.0740740740741	210	29	36	86.6666666667	0.304761904762	0.304761904762
